USFS01C BLC Curncy,,1/1/2001,,USFS05C BLC Curncy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,px_mid,6/6/2017,,,px_mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2001,3.4831,,,10/17/2001,5.9043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2001,3.4378,,,10/18/2001,5.9086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2001,3.4496,,,10/19/2001,5.9531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2001,3.4966,,,10/22/2001,5.9897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2001,3.4582,,,10/23/2001,6.0578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2001,3.3736,,,10/24/2001,5.9896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2001,3.2999,,,10/25/2001,5.9394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/26/2001,3.2884,,,10/26/2001,5.9229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/2001,3.2044,,,10/29/2001,5.888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/30/2001,3.0895,,,10/30/2001,5.7762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2001,3.0002,,,10/31/2001,5.5968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2001,3.129,,,11/1/2001,5.5174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/2001,3.1666,,,11/2/2001,5.7043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/2001,3.0905,,,11/5/2001,5.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/6/2001,2.9508,,,11/6/2001,5.5765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/7/2001,2.9114,,,11/7/2001,5.4547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/8/2001,3.0485,,,11/8/2001,5.5575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2001,3.0632,,,11/9/2001,5.6039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2001,3.1461,,,11/13/2001,5.6237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2001,3.4068,,,11/14/2001,5.8072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2001,3.7597,,,11/15/2001,6.1356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2001,3.79,,,11/16/2001,6.2132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/2001,3.6073,,,11/19/2001,6.1387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/2001,3.6825,,,11/20/2001,6.2408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/21/2001,3.8469,,,11/21/2001,6.3691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/2001,3.9377,,,11/23/2001,6.4203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/26/2001,3.8752,,,11/26/2001,6.3463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2001,3.8013,,,11/27/2001,6.3118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
